s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
USDTTRY,TRADING,USDT,TRY,,,0.01,0.001,TetherUS,Turkish Lira,7.848,7.909,7.82,7.871,2426201.47,19070496.18715,0,2426201.47,USDⓈ,USDⓈ,19404637102,[],,,
USDTUAH,TRADING,USDT,UAH,,,0.1,0.001,TetherUS,Ukraine Hryvnia,28.36,28.553,28.35,28.433,248446.5,7069798.4041,0,248446.5,USDⓈ,USDⓈ,19404637102,[],,,
USDTZAR,TRADING,USDT,ZAR,,,0.1,0.001,TetherUS,South African Rand,15.743,15.9,15.679,15.85,54748.4,863880.7068,0,54748.4,USDⓈ,USDⓈ,19404637102,[],,,
UTKBTC,TRADING,UTK,BTC,,฿,1,1e-8,Utrust,Bitcoin,0.00000625,0.00000658,0.0000061,0.00000633,2353629,14.86272432,0,2353629,BTC,BTC,450000000,[],,,
UTKUSDT,TRADING,UTK,USDT,,,0.01,0.0001,Utrust,TetherUS,0.1208,0.1228,0.1154,0.1196,3094702.01,369042.023923,0,3094702.01,USDⓈ,USDⓈ,450000000,[],,,
VETBNB,TRADING,VET,BNB,,,1,1e-7,VeChain,BNB,0.0005028,0.0005224,0.0004845,0.0005172,10522794,5275.1287743,0,10522794,BNB,BNB,55454734800,"[""pos"",""mining-zone""]",,,
VETBTC,TRADING,VET,BTC,,฿,1,1e-8,VeChain,Bitcoin,8e-7,8.4e-7,7.7e-7,8.3e-7,252381948,201.97146972,0,252381948,BTC,BTC,55454734800,"[""pos"",""mining-zone""]",,,
VETBUSD,TRADING,VET,BUSD,,,1,0.000001,VeChain,BUSD,0.015413,0.015856,0.014304,0.015577,26021436,393710.768483,0,26021436,USDⓈ,USDⓈ,55454734800,"[""pos"",""mining-zone""]",,,
VETETH,TRADING,VET,ETH,,Ξ,1,1e-8,VeChain,Ethereum,0.00002544,0.00002691,0.00002491,0.00002652,39729087,1013.01840913,0,39729087,ALTS,ALTS,55454734800,"[""pos"",""mining-zone""]",,,
VETUSDT,TRADING,VET,USDT,,,1,0.000001,VeChain,TetherUS,0.015363,0.015875,0.014338,0.015635,1043312685,15752739.920691,0,1043312685,USDⓈ,USDⓈ,55454734800,"[""pos"",""mining-zone""]",,,
VIABTC,TRADING,VIA,BTC,,฿,1,1e-8,Viacoin,Bitcoin,0.00001154,0.00001159,0.00001118,0.00001142,89866,1.0198729,0,89866,BTC,BTC,23172222,"[""pow"",""mining-zone""]",,,
VIBBTC,TRADING,VIB,BTC,,฿,1,1e-8,Viberate,Bitcoin,8.5e-7,8.8e-7,8.4e-7,8.6e-7,23735864,20.44470807,0,23735864,BTC,BTC,194279794,[],,,
VIBEBTC,TRADING,VIBE,BTC,,฿,1,1e-8,VIBE,Bitcoin,8.9e-7,9.1e-7,8.6e-7,8.8e-7,2737952,2.409596,0,2737952,BTC,BTC,260136426,[],,,
VIBETH,TRADING,VIB,ETH,,Ξ,1,1e-8,Viberate,Ethereum,0.00002728,0.00002827,0.00002697,0.00002786,7649013,211.40703909,0,7649013,ALTS,ALTS,194279794,[],,,
VIDTBTC,TRADING,VIDT,BTC,,฿,1,1e-8,VIDT Datalink,Bitcoin,0.0000285,0.00003247,0.0000274,0.00003102,893546,26.87577399,0,893546,BTC,BTC,,"[""innovation-zone""]",,,
VIDTBUSD,TRADING,VIDT,BUSD,,,0.01,0.0001,VIDT Datalink,BUSD,0.5619,0.61,0.5,0.5821,286357.69,162649.666803,0,286357.69,USDⓈ,USDⓈ,,"[""innovation-zone""]",,,
VITEBTC,TRADING,VITE,BTC,,฿,1,1e-8,VITE,Bitcoin,8.4e-7,8.6e-7,8.1e-7,8.5e-7,11350296,9.56498017,0,11350296,BTC,BTC,473156907,"[""pos"",""mining-zone""]",,,
VITEUSDT,TRADING,VITE,USDT,,,0.1,0.00001,VITE,TetherUS,0.01612,0.01645,0.01537,0.01607,13584657.8,215900.409665,0,13584657.8,USDⓈ,USDⓈ,473156907,"[""pos"",""mining-zone""]",,,
VTHOBNB,TRADING,VTHO,BNB,,,1,1e-8,VeThor Token,BNB,0.00002592,0.00002739,0.0000255,0.0000255,21793725,573.02496005,0,21793725,BNB,BNB,,[],,,
VTHOUSDT,TRADING,VTHO,USDT,,,1,0.000001,VeThor Token,TetherUS,0.000797,0.000816,0.000764,0.000777,189693482,150027.875533,0,189693482,USDⓈ,USDⓈ,,[],,,
WABIBNB,TRADING,WABI,BNB,,,1,0.000001,TAEL,BNB,0.00284,0.003603,0.002725,0.002969,473553,1380.812633,0,473553,BNB,BNB,54967512,"[""pos"",""mining-zone""]",,,
WABIBTC,TRADING,WABI,BTC,,฿,1,1e-8,TAEL,Bitcoin,0.00000445,0.00000478,0.00000436,0.00000475,1485450,6.7243371,0,1485450,BTC,BTC,54967512,"[""pos"",""mining-zone""]",,,
WANBNB,TRADING,WAN,BNB,,,0.1,0.00001,Wanchain,BNB,0.01157,0.012,0.01121,0.01152,69199.4,796.510586,0,69199.4,BNB,BNB,168916008,"[""pos"",""mining-zone""]",,,
WANBTC,TRADING,WAN,BTC,,฿,1,1e-8,Wanchain,Bitcoin,0.00001848,0.00001923,0.00001779,0.00001853,1249198,22.99641081,0,1249198,BTC,BTC,168916008,"[""pos"",""mining-zone""]",,,
WANETH,TRADING,WAN,ETH,,Ξ,0.01,0.000001,Wanchain,Ethereum,0.000588,0.000615,0.000574,0.000591,178343.76,105.2142005,0,178343.76,ALTS,ALTS,168916008,"[""pos"",""mining-zone""]",,,
WANUSDT,TRADING,WAN,USDT,,,0.01,0.0001,Wanchain,TetherUS,0.3555,0.365,0.3378,0.348,1324206.4,462621.51545,0,1324206.4,USDⓈ,USDⓈ,168916008,"[""pos"",""mining-zone""]",,,
WAVESBNB,TRADING,WAVES,BNB,,,0.1,0.00001,Waves,BNB,0.22518,0.24655,0.22256,0.23735,3287.1,765.627073,0,3287.1,BNB,BNB,103684438,"[""pos"",""mining-zone""]",,,
WAVESBTC,TRADING,WAVES,BTC,,฿,0.01,1e-7,Waves,Bitcoin,0.0003572,0.0003946,0.0003553,0.0003798,349527.01,130.50359285,0,349527.01,BTC,BTC,103684438,"[""pos"",""mining-zone""]",,,
WAVESBUSD,TRADING,WAVES,BUSD,,,0.01,0.0001,Waves,BUSD,6.9028,7.5459,6.6506,7.1776,43895.91,309023.081391,0,43895.91,USDⓈ,USDⓈ,103684438,"[""pos"",""mining-zone""]",,,
WAVESETH,TRADING,WAVES,ETH,,Ξ,0.01,0.000001,Waves,Ethereum,0.011437,0.012583,0.011339,0.012219,21261.47,251.80950291,0,21261.47,ALTS,ALTS,103684438,"[""pos"",""mining-zone""]",,,
WAVESUSDT,TRADING,WAVES,USDT,,,0.01,0.0001,Waves,TetherUS,6.9077,7.5579,6.628,7.1615,1984243.09,13968784.669416,0,1984243.09,USDⓈ,USDⓈ,103684438,"[""pos"",""mining-zone""]",,,
WBTCBTC,TRADING,WBTC,BTC,,฿,0.0001,0.00001,Wrapped Bitcoin,Bitcoin,1.0004,1.00048,0.99806,0.99905,111.9448,111.89788749,0,111.9448,BTC,BTC,,[],,,
WBTCETH,TRADING,WBTC,ETH,,Ξ,0.0001,0.0001,Wrapped Bitcoin,Ethereum,32.0122,32.3379,31.6262,32.1103,9.4359,301.08774373,0,9.4359,ALTS,ALTS,,[],,,
WINBNB,TRADING,WIN,BNB,,,1,1e-8,WINK,BNB,0.00000262,0.00000265,0.00000253,0.00000257,1018550735,2627.83467911,0,1018550735,BNB,BNB,209734500000,[],,,
WINGBNB,TRADING,WING,BNB,,,0.01,0.0001,Wing Token,BNB,0.3417,0.3844,0.3303,0.363,5568.39,1999.420729,0,5568.39,BNB,BNB,,"[""defi"",""innovation-zone""]",,,
WINGBTC,TRADING,WING,BTC,,฿,0.001,0.000001,Wing Token,Bitcoin,0.000536,0.000618,0.00053,0.000584,107683.64,62.1830483,0,107683.64,BTC,BTC,,"[""defi"",""innovation-zone""]",,,
WINGBUSD,TRADING,WING,BUSD,,,0.001,0.001,Wing Token,BUSD,10.086,12.242,10,11.357,1703.364,18760.588942,0,1703.364,USDⓈ,USDⓈ,,"[""defi"",""innovation-zone""]",,,
WINGUSDT,TRADING,WING,USDT,,,0.001,0.001,Wing Token,TetherUS,10.409,11.666,9.956,11,175265.724,1903267.993027,0,175265.724,USDⓈ,USDⓈ,,"[""defi"",""innovation-zone""]",,,
WINTRX,TRADING,WIN,TRX,,,0.1,0.00001,WINK,TRON,0.00256,0.00262,0.00249,0.00254,2505747532.4,6387425.160791,0,2505747532.4,ALTS,ALTS,209734500000,[],,,
WINUSDC,TRADING,WIN,USDC,,,1,1e-7,WINK,USD Coin,0.0000798,0.0000811,0.0000767,0.000078,273362299,21409.564746,0,273362299,USDⓈ,USDⓈ,209734500000,[],,,
WINUSDT,TRADING,WIN,USDT,,,1,1e-8,WINK,TetherUS,0.0000801,0.00008056,0.00007673,0.00007792,8985453149,703217.22425015,0,8985453149,USDⓈ,USDⓈ,209734500000,[],,,
WNXMBNB,TRADING,WNXM,BNB,,,0.001,0.001,Wrapped NXM,BNB,0.702,0.731,0.67,0.686,1010.509,695.880375,0,1010.509,BNB,BNB,,"[""defi"",""innovation-zone""]",,,
WNXMBTC,TRADING,WNXM,BTC,,฿,0.001,0.000001,Wrapped NXM,Bitcoin,0.001085,0.00117,0.001071,0.001099,48473.069,53.6235733,0,48473.069,BTC,BTC,,"[""defi"",""innovation-zone""]",,,
WNXMBUSD,TRADING,WNXM,BUSD,,,0.001,0.001,Wrapped NXM,BUSD,20.668,21.725,20.457,20.994,111.182,2314.663901,0,111.182,USDⓈ,USDⓈ,,"[""defi"",""innovation-zone""]",,,
YFIBUSD,TRADING,YFI,BUSD,,,0.000001,0.01,yearn.finance,BUSD,26463.53,30104.36,25379.13,29467.59,160.85,4466968.3801554,0,160.84111,USDⓈ,USDⓈ,,"[""defi""]",,,
YFIEUR,TRADING,YFI,EUR,,,0.000001,0.01,yearn.finance,Euro,23206.53,24991.56,23206.53,24280.12,6.77,164726.42496,0,6.761081,USDⓈ,USDⓈ,,"[""defi""]",,,
YFIIBNB,TRADING,YFII,BNB,,,0.0001,0.01,DFI.Money,BNB,64.62,69.85,61.96,68.55,266.77,17439.545519,0,266.7652,BNB,BNB,,"[""defi""]",,,
XTZUSDT,TRADING,XTZ,USDT,,,0.01,0.0001,Tezos,TetherUS,2.3785,2.4777,2.2818,2.3615,6154389.8,14577633.938668,0,6154389.8,USDⓈ,USDⓈ,607489041,"[""pos"",""mining-zone""]",,,
YFIIBTC,TRADING,YFII,BTC,,฿,0.0001,0.00001,DFI.Money,Bitcoin,0.10214,0.11168,0.09911,0.10955,1679.037,176.7143781,0,1679.037,BTC,BTC,,"[""defi""]",,,
YFIIBUSD,TRADING,YFII,BUSD,,,0.000001,0.01,DFI.Money,BUSD,1981.63,2103.18,1838.37,2075.51,259.43,519467.23602765,0,259.428806,USDⓈ,USDⓈ,,"[""defi""]",,,
YFIIUSDT,TRADING,YFII,USDT,,,0.000001,0.01,DFI.Money,TetherUS,1971.65,2113.06,1833,2071.6,14840.71,29405342.69416346,0,14840.704717,USDⓈ,USDⓈ,,"[""defi""]",,,
YFIBTC,TRADING,YFI,BTC,,฿,0.0001,0.00001,yearn.finance,Bitcoin,1.37,1.58567,1.35153,1.5583,1075.0559,1588.50988813,0,1075.0559,BTC,BTC,,"[""defi""]",,,
YFIBNB,TRADING,YFI,BNB,,,0.0001,0.01,yearn.finance,BNB,863.6,1021,850.67,975.08,10.32,9659.781834,0,10.315,BNB,BNB,,"[""defi""]",,,
XZCUSDT,TRADING,XZC,USDT,,,0.001,0.001,Firo,TetherUS,4.239,4.285,4.05,4.078,50506.013,210184.437492,0,50506.013,USDⓈ,USDⓈ,11182443,"[""pow"",""mining-zone""]",,,
