s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
HBARBNB,TRADING,HBAR,BNB,,,1,0.000001,Hedera Hashgraph,BNB,0.001269,0.001666,0.001252,0.00139,3171707,4339.888458,0,3171707,BNB,BNB,4077684788,"[""pos""]",,,
HBARBTC,TRADING,HBAR,BTC,,฿,1,1e-8,Hedera Hashgraph,Bitcoin,0.00000194,0.00000215,0.00000191,0.00000213,35873339,73.81323169,0,35873339,BTC,BTC,4077684788,"[""pos""]",,,
HBARBUSD,TRADING,HBAR,BUSD,,,0.1,0.00001,Hedera Hashgraph,BUSD,0.03704,0.04147,0.0369,0.04071,3849858.6,152381.311169,0,3849858.6,USDⓈ,USDⓈ,4077684788,"[""pos""]",,,
HBARUSDT,TRADING,HBAR,USDT,,,0.1,0.00001,Hedera Hashgraph,TetherUS,0.03707,0.0415,0.03682,0.04053,47782501,1886817.583969,0,47782501,USDⓈ,USDⓈ,4077684788,"[""pos""]",,,
HCBTC,TRADING,HC,BTC,,฿,0.01,1e-7,HyperCash,Bitcoin,0.0000484,0.0000486,0.0000471,0.0000477,46282.15,2.20312507,0,46282.15,BTC,BTC,44919121,"[""pow"",""pos"",""mining-zone""]",,,
HEGICBUSD,TRADING,HEGIC,BUSD,,,0.01,0.0001,Hegic,BUSD,0.2208,0.2235,0.2019,0.2088,449525.44,95226.152987,0,449525.44,USDⓈ,USDⓈ,,"[""innovation-zone""]",,,
HEGICETH,TRADING,HEGIC,ETH,,Ξ,1,1e-7,Hegic,Ethereum,0.0003613,0.0004201,0.0003421,0.0003557,358235,128.8243673,0,358235,ALTS,ALTS,,"[""innovation-zone""]",,,
HIVEBTC,TRADING,HIVE,BTC,,฿,1,1e-8,Hive,Bitcoin,0.00000682,0.0000072,0.00000674,0.00000711,1555041,10.88949354,0,1555041,BTC,BTC,,"[""pos"",""mining-zone""]",,,
HIVEUSDT,TRADING,HIVE,USDT,,,0.01,0.0001,Hive,TetherUS,0.1306,0.1383,0.1297,0.136,1741210.25,235162.043473,0,1741210.25,USDⓈ,USDⓈ,,"[""pos"",""mining-zone""]",,,
HNTBTC,TRADING,HNT,BTC,,฿,0.01,1e-7,Helium,Bitcoin,0.0000782,0.0000784,0.0000729,0.0000731,80914.72,6.08069587,0,80914.72,BTC,BTC,,[],,,
HNTUSDT,TRADING,HNT,USDT,,,0.001,0.001,Helium,TetherUS,1.495,1.51,1.343,1.399,456716.44,658690.221125,0,456716.44,USDⓈ,USDⓈ,,[],,,
HOTBNB,TRADING,HOT,BNB,,,1,1e-8,Holo,BNB,0.0000202,0.00002138,0.00002005,0.00002038,106216018,2179.84550749,0,106216018,BNB,BNB,133214575156,"[""storage-zone""]",,,
HOTBTC,TRADING,HOT,BTC,,฿,1,1e-8,Holo,Bitcoin,3e-8,4e-8,3e-8,4e-8,151046600,5.14281722,0,151046600,BTC,BTC,133214575156,"[""storage-zone""]",,,
HOTETH,TRADING,HOT,ETH,,Ξ,1,1e-8,Holo,Ethereum,0.000001,0.00000104,9.8e-7,0.00000101,224389597,226.97308164,0,224389597,ALTS,ALTS,133214575156,"[""storage-zone""]",,,
HOTUSDT,TRADING,HOT,USDT,,,1,1e-7,Holo,TetherUS,0.000589,0.000637,0.0005855,0.0005965,1209651469,730648.340877,0,1209651469,USDⓈ,USDⓈ,133214575156,"[""storage-zone""]",,,
ICXBNB,TRADING,ICX,BNB,,,0.1,0.00001,ICON,BNB,0.01408,0.01457,0.0139,0.01435,52920.2,751.798198,0,52920.2,BNB,BNB,387431340,"[""pos""]",,,
ICXBTC,TRADING,ICX,BTC,,฿,1,1e-8,ICON,Bitcoin,0.00002142,0.00002235,0.00002118,0.00002198,942045,20.51850648,0,942045,BTC,BTC,387431340,"[""pos""]",,,
ICXBUSD,TRADING,ICX,BUSD,,,0.01,0.0001,ICON,BUSD,0.4105,0.4281,0.4075,0.4186,220845.89,92552.032975,0,220845.89,USDⓈ,USDⓈ,387431340,"[""pos""]",,,
ICXETH,TRADING,ICX,ETH,,Ξ,0.01,0.000001,ICON,Ethereum,0.000696,0.000722,0.000684,0.000713,206253.53,144.60032114,0,206253.53,ALTS,ALTS,387431340,"[""pos""]",,,
