s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
LTCUSDC,TRADING,LTC,USDC,Ł,,0.00001,0.01,Litecoin,USD Coin,82.27,86.85,81.69,83.06,10792.06,904224.6971603,0,10792.05679,USDⓈ,USDⓈ,66031573,"[""pow"",""mining-zone""]",,,
LTCUSDT,TRADING,LTC,USDT,Ł,,0.00001,0.01,Litecoin,TetherUS,82.4,86.87,81.66,83.03,1189520.96,99838704.9875891,0,1189520.95147,USDⓈ,USDⓈ,66031573,"[""pow"",""mining-zone""]",,,
LTOBTC,TRADING,LTO,BTC,,฿,1,1e-8,LTO Network,Bitcoin,0.00000573,0.00000658,0.00000566,0.00000651,35600055,217.63321093,0,35600055,BTC,BTC,229053494,"[""pos""]",,,
LTOUSDT,TRADING,LTO,USDT,,,0.1,0.00001,LTO Network,TetherUS,0.10962,0.125,0.10904,0.12392,18018755.9,2120209.040348,0,18018755.9,USDⓈ,USDⓈ,229053494,"[""pos""]",,,
LUNABNB,TRADING,LUNA,BNB,,,0.1,0.00001,Terra,BNB,0.0171,0.01748,0.01678,0.0172,402005.4,6898.231637,0,402005.4,BNB,BNB,,"[""defi"",""pos"",""mining-zone""]",,,
LUNABTC,TRADING,LUNA,BTC,,฿,1,1e-8,Terra,Bitcoin,0.00002614,0.00002689,0.00002572,0.00002651,2441661,64.13382194,0,2441661,BTC,BTC,,"[""defi"",""pos"",""mining-zone""]",,,
LUNABUSD,TRADING,LUNA,BUSD,,,0.01,0.0001,Terra,BUSD,0.4999,0.5193,0.4908,0.5054,454763.47,228968.419147,0,454763.47,USDⓈ,USDⓈ,,"[""defi"",""pos"",""mining-zone""]",,,
LUNAUSDT,TRADING,LUNA,USDT,,,0.01,0.0001,Terra,TetherUS,0.4999,0.5166,0.4901,0.5051,4565608.82,2299341.732431,0,4565608.82,USDⓈ,USDⓈ,,"[""defi"",""pos"",""mining-zone""]",,,
MANABTC,TRADING,MANA,BTC,,฿,1,1e-8,Decentraland,Bitcoin,0.00000468,0.0000047,0.00000459,0.00000464,3319185,15.42381052,0,3319185,BTC,BTC,1483805374,[],,,
MANABUSD,TRADING,MANA,BUSD,,,0.1,0.00001,Decentraland,BUSD,0.08986,0.09045,0.08773,0.08809,781732.8,69952.818474,0,781732.8,USDⓈ,USDⓈ,1483805374,[],,,
MANAETH,TRADING,MANA,ETH,,Ξ,1,1e-8,Decentraland,Ethereum,0.00015069,0.00015235,0.00014867,0.00015,292369,43.73033088,0,292369,ALTS,ALTS,1483805374,[],,,
MANAUSDT,TRADING,MANA,USDT,,,0.1,0.00001,Decentraland,TetherUS,0.08974,0.09046,0.08778,0.08831,7997186.6,713967.490044,0,7997186.6,USDⓈ,USDⓈ,1483805374,[],,,
MATICBNB,TRADING,MATIC,BNB,,,1,1e-7,MATIC Network,BNB,0.0006645,0.0006666,0.0006501,0.0006561,1145702,752.9785581,0,1145702,BNB,BNB,3100000000,"[""pos""]",,,
MATICBTC,TRADING,MATIC,BTC,,฿,1,1e-8,MATIC Network,Bitcoin,0.00000102,0.00000102,9.9e-7,0.000001,33173101,33.34447923,0,33173101,BTC,BTC,3100000000,"[""pos""]",,,
MATICBUSD,TRADING,MATIC,BUSD,,,0.1,0.00001,MATIC Network,BUSD,0.0195,0.01961,0.01894,0.0192,1851002.3,35733.396454,0,1851002.3,USDⓈ,USDⓈ,3100000000,"[""pos""]",,,
MATICUSDT,TRADING,MATIC,USDT,,,0.1,0.00001,MATIC Network,TetherUS,0.01951,0.01963,0.01892,0.01919,74185412.1,1431256.354595,0,74185412.1,USDⓈ,USDⓈ,3100000000,"[""pos""]",,,
MBLBNB,TRADING,MBL,BNB,,,1,1e-7,MovieBloc,BNB,0.0000554,0.0000662,0.0000547,0.0000622,212304779,12844.6007772,0,212304779,BNB,BNB,6386714356,[],,,
MBLBTC,TRADING,MBL,BTC,,฿,1,1e-8,MovieBloc,Bitcoin,9e-8,1e-7,8e-8,1e-7,318460165,29.43482626,0,318460165,BTC,BTC,6386714356,[],,,
MBLUSDT,TRADING,MBL,USDT,,,1,0.000001,MovieBloc,TetherUS,0.001623,0.00196,0.001607,0.001825,909085409,1625995.139329,0,909085409,USDⓈ,USDⓈ,6386714356,[],,,
MDABTC,TRADING,MDA,BTC,,฿,1,1e-8,Moeda Loyalty Points,Bitcoin,0.00002538,0.00002716,0.00002462,0.00002712,860778,22.13252192,0,860778,BTC,BTC,19628888,[],,,
MDTBNB,TRADING,MDT,BNB,,,1,1e-7,Measurable Data Token,BNB,0.0006324,0.0006588,0.0006263,0.0006341,688839,444.0621039,0,688839,BNB,BNB,399848586,[],,,
MDTBTC,TRADING,MDT,BTC,,฿,1,1e-8,Measurable Data Token,Bitcoin,9.6e-7,0.00000103,9.6e-7,9.8e-7,25601934,25.93610564,0,25601934,BTC,BTC,399848586,[],,,
MDTUSDT,TRADING,MDT,USDT,,,0.1,0.00001,Measurable Data Token,TetherUS,0.01847,0.01941,0.01817,0.01857,25904139,480196.187698,0,25904139,USDⓈ,USDⓈ,399848586,[],,,
MFTBNB,TRADING,MFT,BNB,,,1,1e-7,Mainframe,BNB,0.000089,0.0000963,0.0000862,0.0000902,52655165,4777.4892086,0,52655165,BNB,BNB,10000000000,"[""mining-zone"",""defi""]",,,
MFTETH,TRADING,MFT,ETH,,Ξ,1,1e-8,Mainframe,Ethereum,0.00000435,0.00000473,0.00000424,0.00000451,71657551,319.79678099,0,71657551,ALTS,ALTS,10000000000,"[""mining-zone"",""defi""]",,,
MFTUSDT,TRADING,MFT,USDT,,,1,0.000001,Mainframe,TetherUS,0.002606,0.002836,0.00252,0.002652,303576372,802823.41961,0,303576372,USDⓈ,USDⓈ,10000000000,"[""mining-zone"",""defi""]",,,
MITHBNB,TRADING,MITH,BNB,,,1,0.000001,Mithril,BNB,0.000192,0.000192,0.000183,0.000184,7318119,1373.85009,0,7318119,BNB,BNB,941362500,[],,,
MITHBTC,TRADING,MITH,BTC,,฿,1,1e-8,Mithril,Bitcoin,2.9e-7,3e-7,2.8e-7,2.9e-7,4884386,1.41095135,0,4884386,BTC,BTC,941362500,[],,,
MITHUSDT,TRADING,MITH,USDT,,,0.1,0.00001,Mithril,TetherUS,0.00562,0.00565,0.00533,0.00539,14225943.8,78089.884084,0,14225943.8,USDⓈ,USDⓈ,941362500,[],,,
MKRBNB,TRADING,MKR,BNB,,,0.001,0.001,Maker,BNB,18,18.048,17.408,17.615,49.3,866.394979,0,49.3,BNB,BNB,668228,"[""defi""]",,,
MKRBTC,TRADING,MKR,BTC,,฿,0.001,0.000001,Maker,Bitcoin,0.027506,0.027576,0.026687,0.027092,987.707,26.69136875,0,987.707,BTC,BTC,668228,"[""defi""]",,,
MKRBUSD,TRADING,MKR,BUSD,,,0.00001,0.01,Maker,BUSD,526.71,530,511.01,517.19,97.58,50586.7738741,0,97.57778,USDⓈ,USDⓈ,668228,"[""defi""]",,,
MKRUSDT,TRADING,MKR,USDT,,,0.00001,0.01,Maker,TetherUS,526.94,530.17,510.16,516.74,4308.08,2232463.9565879,0,4308.07688,USDⓈ,USDⓈ,668228,"[""defi""]",,,
MTHBTC,TRADING,MTH,BTC,,฿,1,1e-8,Monetha,Bitcoin,3.9e-7,4e-7,3.8e-7,3.9e-7,9013426,3.49085374,0,9013426,BTC,BTC,402400000,[],,,
MTLBTC,TRADING,MTL,BTC,,฿,1,1e-8,Metal,Bitcoin,0.00001855,0.00002029,0.00001828,0.00001931,1353181,25.88205166,0,1353181,BTC,BTC,65588845,[],,,
MTLETH,TRADING,MTL,ETH,,Ξ,0.01,0.000001,Metal,Ethereum,0.000597,0.000653,0.000591,0.000626,87145.92,54.15817029,0,87145.92,ALTS,ALTS,65588845,[],,,
MTLUSDT,TRADING,MTL,USDT,,,0.01,0.0001,Metal,TetherUS,0.3539,0.3965,0.3521,0.3689,848334.64,312580.390661,0,848334.64,USDⓈ,USDⓈ,65588845,[],,,
NANOBTC,TRADING,NANO,BTC,,฿,0.01,1e-7,NANO,Bitcoin,0.0000563,0.0000565,0.0000547,0.0000553,210524.49,11.68612719,0,210524.49,BTC,BTC,133248297,"[""pow""]",,,
NANOBUSD,TRADING,NANO,BUSD,,,0.01,0.0001,NANO,BUSD,1.0862,1.0946,1.0431,1.055,44205.08,47097.394623,0,44205.08,USDⓈ,USDⓈ,133248297,"[""pow""]",,,
NANOETH,TRADING,NANO,ETH,,Ξ,0.01,0.000001,NANO,Ethereum,0.001812,0.001823,0.001776,0.001793,34627.03,62.23505706,0,34627.03,ALTS,ALTS,133248297,"[""pow""]",,,
NANOUSDT,TRADING,NANO,USDT,,,0.01,0.0001,NANO,TetherUS,1.0798,1.0941,1.042,1.0547,354825.64,377792.499741,0,354825.64,USDⓈ,USDⓈ,133248297,"[""pow""]",,,
NASBTC,TRADING,NAS,BTC,,฿,0.01,1e-7,Nebulas,Bitcoin,0.0000168,0.0000171,0.0000163,0.0000165,1181368.57,19.65472365,0,1181368.57,BTC,BTC,57524592,"[""pos""]",,,
NASETH,TRADING,NAS,ETH,,Ξ,0.01,0.000001,Nebulas,Ethereum,0.000543,0.000549,0.000529,0.000531,475891.32,255.43672246,0,475891.32,ALTS,ALTS,57524592,"[""pos""]",,,
NAVBTC,TRADING,NAV,BTC,,฿,1,1e-8,NAV Coin,Bitcoin,0.00000629,0.00000674,0.00000612,0.00000625,1113663,7.08786301,0,1113663,BTC,BTC,70333218,"[""pos"",""mining-zone""]",,,
NBSBTC,TRADING,NBS,BTC,,฿,1,1e-8,New BitShares,Bitcoin,2.9e-7,3e-7,2.7e-7,2.8e-7,11259251,3.25083039,0,11259251,BTC,BTC,,"[""innovation-zone"",""pos"",""defi""]",,,
NBSUSDT,TRADING,NBS,USDT,,,0.1,0.00001,New BitShares,TetherUS,0.00547,0.00579,0.00527,0.00557,19170788.4,106733.473687,0,19170788.4,USDⓈ,USDⓈ,,"[""innovation-zone"",""pos"",""defi""]",,,
NCASHETH,TRADING,NCASH,ETH,,Ξ,1,1e-8,Nucleus Vision,Ethereum,9.6e-7,0.000001,8.9e-7,9e-7,55354518,51.92194245,0,55354518,ALTS,ALTS,7037997921,[],,,
NEARBNB,TRADING,NEAR,BNB,,,0.1,0.00001,NEAR Protocol,BNB,0.03483,0.03563,0.03467,0.03485,126401.5,4431.95495,0,126401.5,BNB,BNB,,"[""pos""]",,,
NEARBTC,TRADING,NEAR,BTC,,฿,0.01,1e-7,NEAR Protocol,Bitcoin,0.0000534,0.0000547,0.0000527,0.0000535,189057.4,10.10892227,0,189057.4,BTC,BTC,,"[""pos""]",,,
NEARBUSD,TRADING,NEAR,BUSD,,,0.01,0.0001,NEAR Protocol,BUSD,1.042,1.0499,1.0105,1.0223,267449.06,274739.9056,0,267449.06,USDⓈ,USDⓈ,,"[""pos""]",,,
NEARUSDT,TRADING,NEAR,USDT,,,0.01,0.0001,NEAR Protocol,TetherUS,1.02,1.0534,1.0091,1.0201,4203135.3,4313092.897554,0,4203135.3,USDⓈ,USDⓈ,,"[""pos""]",,,
NEBLBTC,TRADING,NEBL,BTC,,฿,1,1e-8,Neblio,Bitcoin,0.00002346,0.00002374,0.00002294,0.00002301,93458,2.17771419,0,93458,BTC,BTC,16713774,[],,,
NEBLETH,TRADING,NEBL,ETH,,Ξ,0.01,0.000001,Neblio,Ethereum,0.00075,0.000762,0.000742,0.000743,25437.45,19.1632458,0,25437.45,ALTS,ALTS,16713774,[],,,
NEOBNB,TRADING,NEO,BNB,,,0.01,0.0001,NEO,BNB,0.6091,0.6097,0.5925,0.5951,3081.41,1847.892028,0,3081.41,BNB,BNB,65000000,"[""pos"",""mining-zone""]",,,
NEOBUSD,TRADING,NEO,BUSD,,,0.001,0.001,NEO,BUSD,17.789,17.928,17.249,17.477,7764.184,136964.580432,0,7764.184,USDⓈ,USDⓈ,65000000,"[""pos"",""mining-zone""]",,,
NEOUSDC,TRADING,NEO,USDC,,,0.001,0.001,NEO,USD Coin,17.9,18,17.275,17.354,599.105,10588.687899,0,599.105,USDⓈ,USDⓈ,65000000,"[""pos"",""mining-zone""]",,,
NEOUSDT,TRADING,NEO,USDT,,,0.001,0.001,NEO,TetherUS,17.765,17.936,17.235,17.422,356925.582,6293748.93848,0,356925.582,USDⓈ,USDⓈ,65000000,"[""pos"",""mining-zone""]",,,
NKNBNB,TRADING,NKN,BNB,,,1,0.000001,NKN,BNB,0.000776,0.000814,0.000738,0.000746,928373,722.621538,0,928373,BNB,BNB,583666666,"[""pow"",""mining-zone""]",,,
NKNBTC,TRADING,NKN,BTC,,฿,1,1e-8,NKN,Bitcoin,0.00000119,0.00000123,0.00000113,0.00000114,9527342,11.19169219,0,9527342,BTC,BTC,583666666,"[""pow"",""mining-zone""]",,,
NMRBNB,TRADING,NMR,BNB,,,0.01,0.0001,Numeraire,BNB,1.0802,1.0878,1.0396,1.0518,816.55,867.996707,0,816.55,BNB,BNB,4448687,"[""defi""]",,,
NMRBTC,TRADING,NMR,BTC,,฿,0.001,0.000001,Numeraire,Bitcoin,0.001649,0.001663,0.001589,0.001616,8550.678,13.8826293,0,8550.678,BTC,BTC,4448687,"[""defi""]",,,
NMRBUSD,TRADING,NMR,BUSD,,,0.001,0.001,Numeraire,BUSD,31.651,31.914,30.276,30.769,1438.12,44853.082997,0,1438.12,USDⓈ,USDⓈ,4448687,"[""defi""]",,,
NMRUSDT,TRADING,NMR,USDT,,,0.001,0.001,Numeraire,TetherUS,31.688,31.998,30.211,30.77,16532.978,515774.023015,0,16532.978,USDⓈ,USDⓈ,4448687,"[""defi""]",,,
NPXSETH,TRADING,NPXS,ETH,,Ξ,1,1e-8,Pundi X,Ethereum,3.3e-7,3.6e-7,3.2e-7,3.5e-7,489831965,167.64029702,0,489831965,ALTS,ALTS,261834927333,[],,,
NPXSUSDT,TRADING,NPXS,USDT,,,1,1e-7,Pundi X,TetherUS,0.0001989,0.0002109,0.0001959,0.0002057,1128125215,229497.3823149,0,1128125215,USDⓈ,USDⓈ,261834927333,[],,,
NULSUSDT,TRADING,NULS,USDT,,,0.01,0.0001,Nuls,TetherUS,0.2581,0.2674,0.2513,0.2565,701561.45,181076.708877,0,701561.45,USDⓈ,USDⓈ,99620739,"[""pos"",""mining-zone""]",,,
NXSBTC,TRADING,NXS,BTC,,฿,1,1e-8,Nexus,Bitcoin,0.00001221,0.00001396,0.00001205,0.00001322,807270,10.60530132,0,807270,BTC,BTC,69085897,"[""pow"",""pos"",""mining-zone""]",,,
OAXBTC,TRADING,OAX,BTC,,฿,1,1e-8,openANX,Bitcoin,0.00000385,0.00000403,0.00000383,0.00000391,903674,3.55183549,0,903674,BTC,BTC,75071493,"[""defi""]",,,
OCEANBNB,TRADING,OCEAN,BNB,,,0.1,0.00001,Ocean Protocol,BNB,0.01524,0.01534,0.01425,0.01436,518870.2,7647.779913,0,518870.2,BNB,BNB,337559409,[],,,
OCEANBTC,TRADING,OCEAN,BTC,,฿,1,1e-8,Ocean Protocol,Bitcoin,0.00002332,0.00002342,0.0000219,0.00002214,5387218,121.49375385,0,5387218,BTC,BTC,337559409,[],,,
OCEANBUSD,TRADING,OCEAN,BUSD,,,0.01,0.0001,Ocean Protocol,BUSD,0.4455,0.4517,0.4142,0.424,356704,154843.849043,0,356704,USDⓈ,USDⓈ,337559409,[],,,
OCEANUSDT,TRADING,OCEAN,USDT,,,0.01,0.0001,Ocean Protocol,TetherUS,0.4467,0.4518,0.4138,0.4229,10458927.4,4518924.614449,0,10458927.4,USDⓈ,USDⓈ,337559409,[],,,
OGNBNB,TRADING,OGN,BNB,,,0.1,0.00001,OriginToken,BNB,0.0051,0.00534,0.00508,0.00527,140360.1,735.79033,0,140360.1,BNB,BNB,23862410,[],,,
OGNBTC,TRADING,OGN,BTC,,฿,1,1e-8,OriginToken,Bitcoin,0.00000777,0.00000817,0.00000773,0.00000809,1774667,14.26257114,0,1774667,BTC,BTC,23862410,[],,,
OGNUSDT,TRADING,OGN,USDT,,,0.01,0.0001,OriginToken,TetherUS,0.1486,0.157,0.1486,0.1547,5002110.47,769473.702224,0,5002110.47,USDⓈ,USDⓈ,23862410,[],,,
OMGUSDT,TRADING,OMG,USDT,,,0.01,0.0001,OmiseGO,TetherUS,3.6858,3.7431,3.5362,3.5759,2029441.46,7378438.422584,0,2029441.46,USDⓈ,USDⓈ,102042552,"[""pos"",""mining-zone""]",,,
ONEBIDR,TRADING,ONE,BIDR,,,1,0.01,Harmony,BIDR,72.73,72.73,68.6,71.03,565894,40377808.52,0,565894,USDⓈ,USDⓈ,1890000000,"[""pos"",""mining-zone""]",,,
ONEBNB,TRADING,ONE,BNB,,,1,1e-7,Harmony,BNB,0.0001747,0.000176,0.0001655,0.0001718,12695686,2167.8378227,0,12695686,BNB,BNB,1890000000,"[""pos"",""mining-zone""]",,,
ONEBTC,TRADING,ONE,BTC,,฿,1,1e-8,Harmony,Bitcoin,2.7e-7,2.7e-7,2.5e-7,2.6e-7,124126428,32.32431934,0,124126428,BTC,BTC,1890000000,"[""pos"",""mining-zone""]",,,
ONEBUSD,TRADING,ONE,BUSD,,,1,0.000001,Harmony,BUSD,0.005134,0.005161,0.004823,0.005043,5464693,27356.994739,0,5464693,USDⓈ,USDⓈ,1890000000,"[""pos"",""mining-zone""]",,,
ONEUSDT,TRADING,ONE,USDT,,,0.1,0.00001,Harmony,TetherUS,0.0051,0.00518,0.00482,0.00504,215058512.2,1079943.562127,0,215058512.2,USDⓈ,USDⓈ,1890000000,"[""pos"",""mining-zone""]",,,
ONGBTC,TRADING,ONG,BTC,,฿,1,1e-8,Ontology Gas,Bitcoin,0.00001194,0.00001249,0.0000116,0.00001179,1695223,20.14418783,0,1695223,BTC,BTC,60573114,[],,,
ONGUSDT,TRADING,ONG,USDT,,,0.01,0.0001,Ontology Gas,TetherUS,0.2294,0.2426,0.222,0.225,2491491.01,572965.931497,0,2491491.01,USDⓈ,USDⓈ,60573114,[],,,
ONTBNB,TRADING,ONT,BNB,,,0.1,0.00001,Ontology,BNB,0.01882,0.01887,0.01841,0.01859,12664.3,236.354716,0,12664.3,BNB,BNB,804535798,"[""pow"",""pos"",""mining-zone""]",,,
ONTBTC,TRADING,ONT,BTC,,฿,0.01,1e-7,Ontology,Bitcoin,0.0000286,0.000029,0.0000283,0.0000284,983712.86,28.13148936,0,983712.86,BTC,BTC,804535798,"[""pow"",""pos"",""mining-zone""]",,,
ONTBUSD,TRADING,ONT,BUSD,,,0.01,0.0001,Ontology,BUSD,0.5507,0.5575,0.5369,0.5433,109713.11,60222.711728,0,109713.11,USDⓈ,USDⓈ,804535798,"[""pow"",""pos"",""mining-zone""]",,,
ONTETH,TRADING,ONT,ETH,,Ξ,0.01,0.000001,Ontology,Ethereum,0.000923,0.000934,0.000915,0.000922,44482.79,41.04542298,0,44482.79,ALTS,ALTS,804535798,"[""pow"",""pos"",""mining-zone""]",,,
ONTUSDT,TRADING,ONT,USDT,,,0.01,0.0001,Ontology,TetherUS,0.5495,0.5581,0.5362,0.5419,5796136.6,3180957.088242,0,5796136.6,USDⓈ,USDⓈ,804535798,"[""pow"",""pos"",""mining-zone""]",,,
ORNBTC,TRADING,ORN,BTC,,฿,0.01,1e-7,Orion Protocol,Bitcoin,0.000192,0.0002221,0.000191,0.0002026,714435.67,147.59552705,0,714435.67,BTC,BTC,,"[""defi""]",,,
ORNUSDT,TRADING,ORN,USDT,,,0.01,0.0001,Orion Protocol,TetherUS,3.6828,4.25,3.65,3.85,1444948.72,5740663.689009,0,1444948.72,USDⓈ,USDⓈ,,"[""defi""]",,,
OSTBTC,TRADING,OST,BTC,,฿,1,1e-8,OST,Bitcoin,6.2e-7,6.8e-7,6e-7,6.5e-7,29176880,18.56300188,0,29176880,BTC,BTC,763665268,[],,,
OSTETH,TRADING,OST,ETH,,Ξ,1,1e-8,OST,Ethereum,0.00001985,0.00002198,0.0000195,0.00002075,4550421,92.8478844,0,4550421,ALTS,ALTS,763665268,[],,,
OXTBTC,TRADING,OXT,BTC,,฿,1,1e-8,Orchid,Bitcoin,0.0000158,0.00001641,0.00001553,0.000016,905285,14.41138547,0,905285,BTC,BTC,,[],,,
OXTUSDT,TRADING,OXT,USDT,,,0.01,0.0001,Orchid,TetherUS,0.3027,0.3159,0.2987,0.3045,2466048.02,753495.282389,0,2466048.02,USDⓈ,USDⓈ,,[],,,
PAXGBNB,TRADING,PAXG,BNB,,,0.001,0.001,PAX Gold,BNB,63.2,64.423,62.233,64.262,7.228,459.863941,0,7.228,BNB,BNB,,[],,,
PAXGBTC,TRADING,PAXG,BTC,,฿,0.0001,0.00001,PAX Gold,Bitcoin,0.09619,0.09918,0.09491,0.09843,89.113,8.66469448,0,89.113,BTC,BTC,,[],,,
PAXGUSDT,TRADING,PAXG,USDT,,,0.000001,0.01,PAX Gold,TetherUS,1847.3,1893.24,1835,1875.77,382.24,713138.88410963,0,382.237581,USDⓈ,USDⓈ,,[],,,
PAXUSDT,TRADING,PAX,USDT,,,0.01,0.0001,Paxos Standard,TetherUS,0.9995,1.0002,0.9994,0.9997,3748372.66,3747526.930227,0,3748372.66,USDⓈ,USDⓈ,237000555,[],,,
PERLBNB,TRADING,PERL,BNB,,,1,0.000001,Perlin,BNB,0.000696,0.000716,0.00069,0.000692,324734,227.688391,0,324734,BNB,BNB,261737112,"[""defi""]",,,
PERLBTC,TRADING,PERL,BTC,,฿,1,1e-8,Perlin,Bitcoin,0.00000106,0.0000011,0.00000105,0.00000106,5057332,5.41556442,0,5057332,BTC,BTC,261737112,"[""defi""]",,,
PERLUSDT,TRADING,PERL,USDT,,,0.1,0.00001,Perlin,TetherUS,0.02033,0.02119,0.02012,0.02025,9107163.6,187880.818132,0,9107163.6,USDⓈ,USDⓈ,261737112,"[""defi""]",,,
PHBBTC,TRADING,PHB,BTC,,฿,1,1e-8,Red Pulse Phoenix Binance,Bitcoin,1.5e-7,1.6e-7,1.4e-7,1.6e-7,13388138,2.02722133,0,13388138,BTC,BTC,829588687,[],,,
PHBTUSD,TRADING,PHB,TUSD,,,0.1,0.00001,Red Pulse Phoenix Binance,TrueUSD,0.00287,0.00295,0.00281,0.00295,2548905,7411.057403,0,2548905,USDⓈ,USDⓈ,829588687,[],,,
PIVXBTC,TRADING,PIVX,BTC,,฿,1,1e-8,PIVX,Bitcoin,0.0000207,0.00002119,0.00002039,0.00002047,130318,2.70746824,0,130318,BTC,BTC,64789166,"[""pos"",""mining-zone""]",,,
PIVXETH,TRADING,PIVX,ETH,,Ξ,0.01,0.000001,PIVX,Ethereum,0.000663,0.000685,0.00066,0.000663,24931.2,16.83278802,0,24931.2,ALTS,ALTS,64789166,"[""pos"",""mining-zone""]",,,
PNTBTC,TRADING,PNT,BTC,,฿,1,1e-8,pNetwork,Bitcoin,0.00002457,0.00002923,0.00002424,0.0000257,2923952,77.77273443,0,2923952,BTC,BTC,31039489,"[""defi""]",,,
PNTUSDT,TRADING,PNT,USDT,,,0.01,0.0001,pNetwork,TetherUS,0.47,0.56,0.4639,0.49,4839430.29,2490752.819127,0,4839430.29,USDⓈ,USDⓈ,31039489,"[""defi""]",,,
POABTC,TRADING,POA,BTC,,฿,1,1e-8,POA Network,Bitcoin,0.00000101,0.00000106,9.8e-7,0.00000102,9581731,9.77518344,0,9581731,BTC,BTC,220167621,"[""pos"",""mining-zone""]",,,
POLYBTC,TRADING,POLY,BTC,,฿,1,1e-8,Polymath,Bitcoin,0.00000361,0.000004,0.00000352,0.00000363,12623918,46.62750309,0,12623918,BTC,BTC,536301099,"[""pos"",""mining-zone""]",,,
POWRBTC,TRADING,POWR,BTC,,฿,1,1e-8,PowerLedger,Bitcoin,0.00000524,0.00000555,0.00000519,0.00000547,3047353,16.39108397,0,3047353,BTC,BTC,423992467,[],,,
POWRETH,TRADING,POWR,ETH,,Ξ,1,1e-8,PowerLedger,Ethereum,0.00016871,0.00017868,0.00016671,0.00017722,438148,75.86881104,0,438148,ALTS,ALTS,423992467,[],,,
PPTBTC,TRADING,PPT,BTC,,฿,1,1e-8,Populous,Bitcoin,0.0000136,0.00001423,0.00001346,0.00001367,271221,3.73696715,0,271221,BTC,BTC,53252245,[],,,
PROMBNB,TRADING,PROM,BNB,,,0.1,0.00001,Prometeus,BNB,0.10051,0.10475,0.09065,0.09352,43439.4,4285.31439,0,43439.4,BNB,BNB,,"[""innovation-zone""]",,,
PROMBUSD,TRADING,PROM,BUSD,,,0.01,0.0001,Prometeus,BUSD,2.9548,3.0733,2.6499,2.7454,48463.88,139108.42285,0,48463.88,USDⓈ,USDⓈ,,"[""innovation-zone""]",,,
QKCBTC,TRADING,QKC,BTC,,฿,1,1e-8,QuarkChain,Bitcoin,2.8e-7,3e-7,2.8e-7,2.9e-7,19062115,5.56802863,0,19062115,BTC,BTC,9613305799,"[""pow"",""pos"",""mining-zone""]",,,
QKCETH,TRADING,QKC,ETH,,Ξ,1,1e-8,QuarkChain,Ethereum,0.00000921,0.00000976,0.00000902,0.00000937,2160040,20.26830059,0,2160040,ALTS,ALTS,9613305799,"[""pow"",""pos"",""mining-zone""]",,,
QLCBTC,TRADING,QLC,BTC,,฿,1,1e-8,QLC Chain,Bitcoin,8.5e-7,8.6e-7,8.3e-7,8.5e-7,3822507,3.24210433,0,3822507,BTC,BTC,240000000,"[""pos"",""mining-zone""]",,,
QLCETH,TRADING,QLC,ETH,,Ξ,1,1e-8,QLC Chain,Ethereum,0.00002754,0.0000278,0.00002713,0.00002743,452584,12.39740968,0,452584,ALTS,ALTS,240000000,"[""pos"",""mining-zone""]",,,
QSPBTC,TRADING,QSP,BTC,,฿,1,1e-8,Quantstamp,Bitcoin,0.0000014,0.00000142,0.00000137,0.00000139,3568863,4.9612995,0,3568863,BTC,BTC,713801946,[],,,
QSPETH,TRADING,QSP,ETH,,Ξ,1,1e-8,Quantstamp,Ethereum,0.000045,0.00004582,0.00004361,0.000045,4807692,215.93294411,0,4807692,ALTS,ALTS,713801946,[],,,
QTUMBUSD,TRADING,QTUM,BUSD,,,0.001,0.001,Qtum,BUSD,2.617,2.691,2.574,2.6,9369.576,24705.124391,0,9369.576,USDⓈ,USDⓈ,97451343,"[""pos"",""mining-zone""]",,,
QTUMUSDT,TRADING,QTUM,USDT,,,0.001,0.001,Qtum,TetherUS,2.627,2.692,2.564,2.6,901933.506,2376459.66632,0,901933.506,USDⓈ,USDⓈ,97451343,"[""pos"",""mining-zone""]",,,
RCNBTC,TRADING,RCN,BTC,,฿,1,1e-8,Ripio Credit Network,Bitcoin,0.00000227,0.00000235,0.00000212,0.00000225,3276146,7.31732824,0,3276146,BTC,BTC,508404745,"[""defi""]",,,
RDNBTC,TRADING,RDN,BTC,,฿,1,1e-8,Raiden Network Token,Bitcoin,0.00000982,0.00001014,0.00000976,0.00001005,507533,5.04514579,0,507533,BTC,BTC,50593936,[],,,
RENBTC,TRADING,REN,BTC,,฿,1,1e-8,Ren,Bitcoin,0.00001754,0.00001806,0.00001738,0.00001753,3380410,59.78825589,0,3380410,BTC,BTC,884532524,"[""pos"",""mining-zone"",""defi""]",,,
RENBTCBTC,TRADING,RENBTC,BTC,,฿,0.0001,0.00001,renBTC,Bitcoin,1.00066,1.0029,0.99709,0.99999,5.7698,5.76062488,0,5.7698,BTC,BTC,,"[""defi""]",,,
RENBTCETH,TRADING,RENBTC,ETH,,Ξ,0.0001,0.0001,renBTC,Ethereum,32.3804,32.5698,31.8135,32.5698,0.1199,3.88106282,0,0.1199,ALTS,ALTS,,"[""defi""]",,,
REPBTC,TRADING,REP,BTC,,฿,0.001,0.000001,Augur v2,Bitcoin,0.000882,0.000894,0.000853,0.00086,42395.492,36.89632682,0,42395.492,BTC,BTC,11000000,"[""defi""]",,,
